First	Last	Address	City	State	Zip	Phone	Gender
Bill	Costa	720 2nd Street	San Jose	CA	94607	(408) 555-7770	M
Tom	Hayes	3120 Impala Drive	San Jose	CA	95117	(408) 555-6197	M
Mike	Keller	26632 Towne Center Drive	San Jose	CA	92610	(408) 555-2415	M
Carl	Moran	5295 Almaden Expressway	Mountain View	CA	95120	(650) 555-2700	M
Dennis	Melbye	514 Salinas Road	Gilroy	CA	95076	(650) 555-6040	M
William	Oliver	206 Castro Street	Los Gatos	CA	94041	(408) 555-0220	M
Joseph	Chin	756 California Street	San Jose	CA	94041	(408) 555-6000	M
Earl	Lockey	323 Fairchild Drive	Santa Clara	CA	94043-2215	(408) 555-1354	M
Mr.	Zachman	1020 Second Street	San Jose	CA	95112-5827	(408) 555-5541	M
Tony	Mills	2762 Bayview Drive	Los Gatos	CA	94539	(408) 555-5780	M
John	Sakauye	2742 Bayview Drive	San Jose	CA	94539	(408) 555-2885	M
Geoffrey	Norton	234 Oak Meadow Drive	Morgan Hill	CA	95030	(203) 555-2316	M
John	Arnautou	5580 Almaden Expy	Morgan Hill	CA	95118	(408) 555-9200	M
Mike	Burke	16875 Joleen Way	Santa Clara	CA	95037	555-7090	M
Steve	Burnett	439 First Street	Morgan Hill	CA	95062	(510) 555-3531	M
Ron	Cioth	1070 Dell Ave	Gilroy	CA	95008-6602	(650) 555-0204	M
Phil	D'Angelo	629 Mathilda Avenue	Cupertino	CA	94085	(408) 555-3600	M
Jim	Gibson	908 Arques Avenue	San Jose	CA	94085	(650) 555-6879	M
Doug	Johnson	465 Piercy Road	Campbell	CA	95138	(650) 555-2751	M
Janita	Machado	11425 Clayton Road	San Jose	CA	95127	(408) 555-1122	F
Bob	Prehm	301 Stockton Ave	Cupertino	CA	95126	(408) 555-0294	M
Bill	Wimmer	151 Evelyn Ave	San Jose	CA	94041	(650) 555-5111	M
Kash	Helgans	911 Cadillac Court	Santa Clara	CA	95031	(408) 555-1332	F
Naioki	Snover	2559 Bascom Ave	Santa Clara	CA	95008	(408) 555-8447	F
Carolyn	Steinbuch	455 Los Gatos Blvd	Campbell	CA	95030	(415) 555-8700	F
Jennifer	Triska	253 Almendra Ave	Campbell	CA	93050	(408) 555-9182	F
Bill	Wood	320 Los Gatos-Saratoga Road	Campbell	CA	95030	(408) 555-9055	M
Milton	Brady	333 Los Gatos-Saratoga Road	San Jose	CA	95030	(408) 555-6600	M
Ralph	Castle	1870 Hamilton Ave	Santa Clara	CA	95125	(408) 555-7400	M
David	Hall	1199 Fifth Street	Los Gatos	CA	95112	(408) 555-5400	M
Len	Kellberg	1066 Second Street	Campbell	CA	95112-5827	(408) 555-4555	M
James	Tipton	10450 Ridgeview Court	San Jose	CA	95014	(305) 555-7711	M
Valoree	Brand	55 Los Gatos-Saratoga Road	San Jose	CA	95030	(408) 555-8447	F
Tom	Cohan	3511 Charter Park Drive	San Jose	CA	95136	(408) 555-5454	M
Tamera	Deveau	867 Kaynyne Street	Cupertino	CA	94063	(415) 555-4430	F
Chris	Lewis	14651 Big Basin Way	Los Gatos	CA	95070	(408) 555-0511	M
David	Randleman	4201 El Camino Real	Fremont	CA	94306	(408) 555-5020	M
Skeet	Shaffer	2727 Augustine Drive	Campbell	CA	95054-2902	(408) 555-6222	M
Rosemarie	Dallmar	46401 Landing Pky	San Jose	CA	94538	(408) 555-3400	F
Jim	Daschbach	6640 Redeker	Los Gatos	CA	94560	(408) 555-4616	M
Pete	Gabrielson	1000 Bascom Ave	Santa Clara	CA	95128	(415) 555-1300	M
Warren	Troedson	155 Martinvale Lane	Mountain View	CA	95119-1319	(408) 555-6900	M
Mr.	Van Linge	750 Palomar Ave	Los Gatos	CA	94086	(408) 555-7772	M
Peter	Davis	1465 Carolan Ave	Union City	CA	94010	(415) 555-0660	M
Tom	Koch	1405 Kennedy Drive	San Jose	CA	95035	(650) 555-2108	M
Paul	Pimlott	240 Grand Ave	San Jose	CA	94080	(650) 555-8222	M
Barbara	Rogers	230 Grand Ave	San Jose	CA	94080	(408) 555-8668	F
Paul	Schwarz	1084 Second Street	Morgan Hill	CA	95112-5827	(614) 555-5833	M
Tony	Hamilton	10495 De Anza Blvd	Gilroy	CA	95014	(408) 555-0636	M
Margaret	Schell	1501 Salado Drive	Mountain View	CA	94043	(408) 555-1084	F
Laura	Sciadarrasi	445 Mary Ave	Morgan Hill	CA	94085	(408) 555-0111	F
Marge	Laskey	2591 Garcia Ave	Sunnyvale	CA	94043	(415) 555-8888	F
Marty	Ludwig	825 Middlefield Road	Morgan Hill	CA	94043	(408) 555-2352	M
David	Richards	815 Middlefield Road	Mountain View	CA	94043	(408) 555-9468	M
Udo	Chapman	700 Middlefield Road	San Jose	CA	94043-4024	(408) 555-3080	F
Frank	Conklin	700 Middlefield Road	San Jose	CA	94043-4024	(415) 555-0567	M
Bernard	Johnson	49211 Milmont Drive	San Jose	CA	94538	(415) 555-8911	M
Deborah	Bludau	49251 Milmont Drive	Morgan Hill	CA	94538	(408) 555-2662	F
Jerry	Botto	397 Trimble Road	Gilroy	CA	95134	(408) 555-0940	M
Richard	Cisneros	900 Mccarthy Blvd	Gilroy	CA	95035	(408) 555-9481	M
Steve	Hygelund	920 Mccarthy Blvd	Los Gatos	CA	95035	(408) 555-2100	M
Marshall	Ritchie	820 Mccarthy Blvd	Campbell	CA	95035	(925) 555-6205	M
Scott	Deisz	840 Mccarthy Blvd	Los Gatos	CA	95035	(408) 555-9750	M
Art	Lavere	860 Mccarthy Blvd	San Jose	CA	95035	(408) 555-5432	M
Tom	Grammens	890 Mccarthy Blvd	Los Gatos	CA	95035	(408) 555-0713	M
Robert	Pitre	880 Mccarthy Blvd	San Jose	CA	95035	(408) 555-8857	M
Albert	Barnette	870 Mccarthy Blvd	Morgan Hill	CA	95035	(216) 555-6060	M
Jim	Bergen	690 Mccarthy Blvd	San Jose	CA	95035	(408) 555-2800	M
William	Hunter	680 Mccarthy Blvd	San Jose	CA	95035	(415) 555-5102	M
Joseph	Issakides	670 Mccarthy Blvd	San Jose	CA	95035	(415) 555-3600 ext. 311	M
Linda	Starkovich	314 Los Gatos-Saratoga Road	San Jose	CA	95030	(650) 555-3572	F
Larry	Morrison	9501 Jeronimo Road	San Jose	CA	92618	(203) 555-7000	M
Tom	Bonno	6506 Dumbarton Circle	Santa Clara	CA	94555	(415) 555-3333	M
Gary	Gillmor	6600 Dumbarton Circle	Gilroy	CA	94555	(510) 555-2300	M
Derek	Wyckoff	6550 Dumbarton Circle	San Jose	CA	94555	(650) 555-0900	M
Mason	Iric	620 Mccarthy Blvd	Los Gatos	CA	95035	(408) 555-5955	M
Mark	Kronzer	640 Mccarthy Blvd	San Jose	CA	95035	(408) 555-5588	M
George	Wu	660 Mccarthy Blvd	San Jose	CA	95035	(408) 555-8440	M
Kamal	Hamm	47669 Fremont Blvd	Santa Clara	CA	94538	(408) 555-8401	M
Buz Ann	Su	368 Campbell Ave	Santa Clara	CA	95008	(408) 555-6060	F
Ed	Tate	121 Gish Road	Santa Clara	CA	usa	(510) 555-3501	M
R.	Jensen	635 Pastoria Ave	Morgan Hill	CA	94085	(408) 555-9490	F
Howard	Bratney	1090 Arques Ave	San Jose	CA	94085	(408) 555-4200	M
Jack	Shaw	201 Redwood Shores Pky	Santa Clara	CA	94065	(650) 555-0650	M
Bill	Endersby	100 Redwood Shores Pky	Milpitas	CA	94065	(415) 555-4660	M
Robert	Or Steve	31801 Hayman Street	Los Altos	CA	94544	(650) 555-8728	M
Del	Pollak	425 National Ave	San Jose	CA	94043	(415) 555-1000	M
Karen	Ro	18430 Sutter Blvd	Santa Clara	CA	`	(408) 555-6657	F
Bruce	Meier	3090 Independence Drive	Campbell	CA	94545	(408) 555-0900	M
Chris	Wong	19490 Monterey Street	Mountain View	CA	95037	(415) 555-7881	M
Ed	Collins	6472 Camden Ave	San Jose	CA	95120	(415) 555-1306	M
Willing S.	Wong	203 Redwood Shores Pky	San Jose	CA	94065	(408) 555-8966	M
Ann	Newman	652 Bair Island Road	San Jose	CA	sam	(408) 555-8680	F
Cal	Newman	460 Mccarthy Drive	Gilroy	CA	95035	(510) 555-8558	M
Bill	Jones	490 Mccarthy Blvd	Santa Clara	CA	95035	(650) 555-0920	M
Mike	Kimber	430 Mccarthy Drive	San Jose	CA	95035	(408) 555-1700	M
Mark	Cullen	1094 Second Street	Los Gatos	CA	95112-5827	(408) 555-6433	M
Chris	Ward	980 Second Street	Santa Clara	CA	95112-5825	(650) 555-4433	M
Robert	Spangenberg	515 Whisman Road	Mountain View	CA	94043	(650) 555-2264	M
Cabot	Tamas	2600 Bridge Pky	Gilroy	CA	94065	(408) 555-0102	M
Mr. William J.	Christens	118 Santa Clara Street	San Jose	CA	95113	(408) 555-0250	M
Theodore	Mathews	198 Winsor Street	Morgan Hill	CA	95035	(650) 555-8600	M
Paul	Kordistani	1323 Great Mall Drive	Sunnyvale	CA	95035	(415) 555-1784	M
Gene	Nason	250 Redwood Shores Pky	San Jose	CA	94065	(415) 555-9660	M
Barbara	Wells	400 Mccarthy Blvd	San Jose	CA	95035	(408) 555-4830	F
Jack	Mackie	356 Reed Ave	San Jose	CA	95051	(415) 555-0330	M
Tony	Minikt	3201 Scott Blvd	Santa Clara	CA	95054	(408) 555-9140	M
Ellen	Komes	34750 Campus Drive	San Jose	CA	94555	(415) 555-8410	F
Thomas	Guinn	275 Campbell Ave	Morgan Hill	CA	95008	(847) 555-1600	M
Mr.	Hunter	385 Dempsey Road	San Jose	CA	95035	(408) 555-8402	M
Howard	White	66 Bonaventura Drive	Santa Clara	CA	95134	(408) 555-2021	M
Randy	Wimmer	10 Hamilton Ave	Foothill Ranch	CA	95008	(650) 555-2100	M
Corrin	Wimmer	2050 Logic Drive	Santa Clara	CA	95124	(408) 555-3670	F
Cindy	Langson	390 Lytton Ave	Mountain View	CA	94301	(415) 555-9411	F
Hal	Hunter	1188 Arques Ave	Santa Clara	CA	94085	(408) 555-6016	M
Paul	Ham	1 Results Way	San Jose	CA	95014	(408) 555-1010	M
Dick	Goldstein	1300 Dell Ave	San Jose	CA	95008	(408) 555-1900	M
Ted	Gorsky	209 Fair Oaks Ave	Santa Clara	CA	94086	(800) 555-7650	M
Michael De	Anderson	20425 Stevens Creek Blvd	San Jose	CA	95014	(408) 555-1444	M
Marrianne	Bohannon	6969 Clark Ave	Santa Clara	CA	94258	(408) 555-9600	F
Dave	Lico	215 Topaz Street	Gilroy	CA	95035	(408) 555-2800	M
Peter	Tomas	48366 Milmont Drive	San Jose	CA	94538	(408) 555-1000	M
Charles	Or Lisa	1630 Old Oakland	Milpitas	CA	95131	(408) 555-0693	M
Donna	Scully	49070 Milmont Drive	Cupertino	CA	94538	(415) 555-1100	F
Donald	Button	23986 Foley Street	Mountain View	CA	94545	(408) 555-4650	M
Ron	Bell	1582 Monterey Highway	San Jose	CA	95112	(415) 555-2060	M
Tom	Ravizza	1610 La Pradera Drive	Santa Clara	CA	95008	(408) 555-7900	M
Rick	Messinger	210 Hacienda Ave	Mountain View	CA	95008	(415) 555-0500	M
Gary	Kovacs	910 Hamilton Ave	Santa Clara	CA	95008	(408) 555-1314	M
Peter	Hiebert	138 Campbell	San Jose	CA	95008	(408) 555-1791	M
Victor	Ridley	470 Division Street	San Jose	CA	95008	(415) 555-0331	M
Mike	Or Steve	49000 Milmont Drive	Los Gatos	CA	94538	(408) 555-2155	M
Chris	Cook	21216 Cabot Blvd	San Jose	CA	94545	(408) 555-2200	M
Peter	Osborne	49063 Grimmer Blvd	Mountain View	CA	94538	(408) 555-8450	M
Dennis	Labetich	509 Valley Way	San Jose	CA	95035	(408) 555-3906	M
Steve	Simmons	992 De Anza Blvd	San Jose	CA	95129	(408) 555-7600	M
Peter	Or John	39812 Mission Blvd	Los Gatos	CA	94538	(408) 555-4964	M
Rusty	Catanzaro	47411 Fremont Blvd	Santa Clara	CA	94538	(650) 555-1000	M
Jim	Groomes	1696 Dell Ave	San Jose	CA	95008	(408) 555-7890	M
Diane	Patane	701 Middlefield Road	San Jose	CA	94043	(408) 555-8696	F
Phillip	Harding	125 Campbell Ave	San Jose	CA	95008	(408) 555-6700	M
Mark	Petrossian	48490 Milmont Drive	Gilroy	CA	94538	(408) 555-5818	M
Michael	Hoadury	2593 Coast Ave	Los Gatos	CA	94043	(408) 555-1888	M
Gordon	Klemens	33 First Street	Morgan Hill	CA	95008	(408) 555-7111	M
Evan	Montgomery	500 Middlefield Road	Sunnyvale	CA	94043	(408) 555-4455	M
John	Wong	300 Second Street	Morgan Hill	CA	95113	(408) 555-0111	M
Henry	Hamilton	674 Pastoria Ave	Gilroy	CA	94085	(408) 555-9600	M
Wayne	Hill	750 Middlefield Road	Santa Clara	CA	94043	(408) 555-8301	M
Bill	Mecham	2460 Samaritan Drive	Cupertino	CA	95124-3913	(415) 555-5248	M
Ronda	Brandon	138 Railway Ave	Mountain View	CA	95008	(408) 555-9050	F
William	Iwamasa	2205 Ringwood Ave	Santa Clara	CA	95131	(415) 555-4142	M
Brenda	Catanzargo	48900 Milmont Drive	San Jose	CA	94538	(408) 555-2582	F
Faye	Dempsey	1190 Park Ave	San Jose	CA	95126	(408) 555-9485	F
Ms. Dorthy	Bean	3003 Bunker Hill Lane	San Jose	CA	95054	(408) 555-1492	F
Samuel	Jonah	47300 Kato Road	Morgan Hill	CA	94538	(408) 555-4220	M
Richard	Sully	770 Hamilton Ave	Cupertino	CA	95008	(415) 555-5200	M
Mr.	Catanzaro	1919 Bascom Ave	Santa Clara	CA	95008	(408) 555-2600	M
Tom	Turturici	307 Orchard City Drive	Los Gatos	CA	95008	(408) 555-7300	M
March	Buchanan	1855 Tenth Street	Gilroy	CA	95112	(510) 555-8558	F
David R.	Shook-Arterberry	3140 De La Cruz Blvd	San Jose	CA	95054	(408) 555-5572	M
Steve	Noonan	38801 Cherry Street	Morgan Hill	CA	94560	(408) 555-5000	M
Edward	Swenson	2400 Moorpark	San Jose	CA	95128	(415) 555-0258	M
Norton	Kenelvor	730 Pastoria Ave	San Jose	CA	94085	(561) 555-9880	M
Paul	Marian	715 Pastoria Ave	Santa Clara	CA	94085	(650) 555-7400 Ext. 129	M
Dan	Gillmor	580 Pastoria Ave	San Jose	CA	94085	(415) 555-1400	M
Claude	Correa	1096 Second Street	Santa Clara	CA	95112-5827	(408) 555-1770	M
Robert	Jones	610 Pastoria Ave	Morgan Hill	CA	94085	(410) 555-4083	M
Soichiro	Miller	510 Pastoria Ave	Morgan Hill	CA	94085	(213) 555-1414	M
Al (Dr.)	Pardue	754 Pastoria Ave	Gilroy	CA	94085	(650) 555-6900	M
Larry	Green	324 Mary Ave	Los Gatos	CA	94085	(213) 555-6979	M
Wayne	D'Orazio	1101 Maude Ave	Campbell	CA	94043	(408) 555-9400 x312	M
Cindi	Glasco	655 Pastoria Ave	San Jose	CA	94085	(408) 555-0888	F
Steven	Craighea	909 Hermosa Court	Mountain View	CA	94085	(408) 555-0300	M
Nicholas	Green	1070 Arques Ave	Sunnyvale	CA	94085	(415) 555-7700	M
Jim	Petrossi	777 Pastoria Ave	Los Gatos	CA	94085	(408) 555-7111	M
John Ross	Ruebell	444 Oakmead Pky	Sunnyvale	CA	94086	(415) 555-1305	M
Peter	Stockhus	740 Arques Ave	Campbell	CA	94085	(415) 555-5999	M
Philip	Hurley	750 Pastoria Ave	Los Gatos	CA	94085	(408) 555-0604	M
Howard	Mintz	1050 Arques Ave	Gilroy	CA	94085	(408) 555-7010	M
Hank	Cam	595 Pastoria Ave	San Jose	CA	94085	(408) 555-6667	M
Jim	Or Tom MCL	860 Arques Ave	Palo Alto	CA	94085	(415) 555-2724	M
Lynn	Maclaughlin	2131 The Alameda	San Jose	CA	usa	(510) 555-2964	F
Steve	Lazarene	600 Trimble Road	Campbell	CA	95131	(408) 555-0900	M
Dennis	Adams	1095 Third Street	Santa Clara	CA	95112-5842	(408) 555-6810	M
Jim	Maclaughlin	550 Charcot Ave	Morgan Hill	CA	95131	(408) 555-0277	M
Kent	Danna	1210 Bascom Ave	San Jose	CA	95130	(415) 555-7400 Ext. 502	M
Mike	Kittl	81 Great Oaks Blvd	Santa Clara	CA	usa	(408) 555-6510	M
Robert	Duran	930 Mclaughlin Ave	Santa Clara	CA	usa	(949) 555-7416	M
Pat	Baker	211 River Oaks Pky	Gilroy	CA	95134	(415) 555-0150	F
Robert	Cass	957 Industrial Road	Los Gatos	CA	94070	(408) 555-0111	M
Harry	S.	1 Twin Dolphin Drive	San Jose	CA	94065	(408) 555-1580	M
Carol	Barretta	37590 Sycamore Street	Los Gatos	CA	94560	(408) 555-4466	F
Steve	Longinetti	455 Middlefield Road	San Jose	CA	94043	(408) 555-1919	M
Mark	Wong	1601 Shoreline Blvd	Santa Clara	CA	94043-1315	(408) 555-5393	M
Roger	Guzik	2450 Bayshore Pky	Mountain View	CA	94043	(408) 555-0676	M
Gary	KADO	805 Middlefield Road	Gilroy	CA	94043	(408) 555-8700	M
Bill	Facchino	2375 Garcia Ave	Los Gatos	CA	94043	(408) 555-1800	M
Frank	Kenilvort	401 Middlefield Road	San Jose	CA	94043	(408) 555-7060	M
Dr. Karen	Murphy	2632 Marine Way	Santa Clara	CA	94043	(415) 555-1130	M
Mr. Len	Taylor	335 Middlefield Road	San Jose	CA	94043	(408) 555-1234	M
Lynn	Taylor	2025 Garcia Ave	San Jose	CA	94043	(408) 555-0300	F
John	Van Leeuwen	1087 Third Street	Campbell	CA	95112-5842	(408) 555-0400	M
Bruce	Ruffo	2500 Garcia Ave	Santa Clara	CA	94043	(408) 555-1200	M
Chuck	Rudd	2685 Marine Way	Gilroy	CA	94043	(408) 555-3693	M
Jim	Haynes	2598 Bayshore Pky	Los Gatos	CA	94043	(415) 555-5000	M
Chip	Williams	1810 Mccandless Drive	Morgan Hill	CA	usa	(925) 555-1011	M
Debby	Thiebaut	1301 California Circle	Gilroy	CA	95035	(617) 555-3800	F
Jane	Trobbe	480 Vista Way	Gilroy	CA	95035-5406	(510) 555-8558	F
Jory	Reed	3705 Haven Ave	San Jose	CA	usa	(415) 555-1300	F
Shoutung	Long	2570 El Camino Real	Sunnyvale	CA	usa	(510) 555-1580	M
David L.	Sobell	48340 Milmont Drive	San Jose	CA	94538	(408) 555-0550	M
Joel	D'Angelo	48430 Milmont Drive	San Jose	CA	94538	(408) 555-4821	M
Kevin	Kulik	48461 Milmont Drive	Los Gatos	CA	94538	(408) 555-9191	M
Larry	Behrens	2875 Prune Ave	San Jose	CA	94539	(201) 555-0828	M
Mr.	Vais	47122 Mission Falls Court	San Jose	CA	94538	(408) 555-7133	M
Andrew	Mcmullan	49103 Milmont Drive	San Jose	CA	94538	(408) 555-7800	M
Pam	Arens	49035 Milmont Drive	Campbell	CA	94538	(408) 555-9870	F
Takehiko	Sutter	2199 Warm Springs Court	Santa Clara	CA	94539	(408) 555-0811	F
L.P.	Van Derhoff	21684 Granada Ave	Gilroy	CA	90514-5928	(408) 555-2727	M
Lowell	O'Malley	1081 Third Street	Cupertino	CA	95112-5842	(408) 555-8630	M
Ken	Martin	20330 Stevens Creek Blvd	Sunnyvale	CA	95014	(408) 555-1611	M
J.	Jones	150 Sunnyoaks Ave	Morgan Hill	CA	95008-6610	(213) 555-4900	F
Joe	Schroepfer	900 Hamilton Ave	Gilroy	CA	95008	(408) 555-1800	M
James	Rugiarri	2831 Faber Street	Morgan Hill	CA	94587	(415) 555-8449	M
Mr.	Moison	658 Pastoria Ave	San Jose	CA	94085	(408) 555-7772	M
Carolyn	Wright	810 Arques Ave	San Jose	CA	USA	(650) 555-8300	F
Tim	Wincott	430 Mary Ave	Santa Clara	CA	94085	(617) 555-3800	M
Chet	Such	825 Stewart Drive	Gilroy	CA	94085-4500	(408) 555-0514	M
Charlotte	Gibney	1306 Orleans Drive	Santa Clara	CA	94089	(408) 555-1340	F
John	Bryant	1311 Orleans Drive	San Jose	CA	94089	(408) 555-3900	M
Joel	Wuthmann	982 Second Street	San Jose	CA	95112-5825	(415) 555-9001	M
Clay	Tarlton	1255 Orleans Drive	San Jose	CA	94089	(650) 555-8373	M
Sue E.	Kuppersmith	1208 Arques Ave	Sunnyvale	CA	94085	(408) 555-1800	F
Warren	Merriman	974 Arques Ave	San Jose	CA	94085	(408) 555-6222	M
Michael	Clark	733 Pastoria Ave	Gilroy	CA	94085	(408) 555-9400 x325	M
Joe	Leese	639 Pastoria Ave	Los Gatos	CA	94085	(408) 555-1800	M
Dick	Stearns, Jr.	690 Arques Ave	Santa Clara	CA	94085	(408) 555-6597	M
George	Gallegos	520 Weddell Drive	Santa Clara	CA	94089	(408) 555-8686	M
John	Cabral	575 Pastoria Ave	Santa Clara	CA	94085	(415) 555-7250	M
Melanie	Pyle	661 Arques Ave	San Jose	CA	94085	(650) 555-8000	F
Joe	Blackman	755 Pastoria Ave	Los Gatos	CA	94085	(408) 555-7342	M
Andy	Greinetz	1277 Orleans Drive	San Jose	CA	94089	(817) 555-3224	M
Daniel	Siracusa	910 Hermosa Court	San Jose	CA	94085	(415) 555-3399	M
Carter	Jacobson	743 Pastoria Ave	Milpitas	CA	94085	(408) 555-1220	M
Sharon	O'Brien	1330 Orleans Drive	San Jose	CA	94089	(408) 555-7622	F
Susan	Cooper, Aia	1327 Orleans Drive	Morgan Hill	CA	94089	(210) 555-3222	F
Eileen	McMurtry	521 Weddell Drive	San Jose	CA	94089	(415) 555-1650	F
Doug	Schultz	919 Hermosa Court	Campbell	CA	94085	(408) 555-0900	M
Ray	Freedman	750 Arques Ave	Los Gatos	CA	94085	(408) 555-4683	M
Amanda	Johnson	501 Macara Ave	Gilroy	CA	94086	555-9941	F
Samuel	Healey	1252 Orleans Drive	Morgan Hill	CA	94089	(312) 555-0020	M
Mia	Frazer	1234 Elko Drive	Sunnyvale	CA	usa	(415) 555-1879	F
George	Frazer	1299 Orleans Drive	Los Gatos	CA	94089	(408) 555-5450	M
Debra	Callahan, Jr.	310 Mary Ave	Morgan Hill	CA	94085	(208) 555-8344	F
