First	Last	Address	City	State	Zip	Phone
Bill	Costa	720 2nd Street	San Jose	CA	94607	(408) 555-7770
Tom	Hayes	3120 Impala Drive	San Jose	CA	95117	(408) 555-6197
Mike	Keller	26632 Towne Center Drive	San Jose	CA	92610	(408) 555-2415
Carl	Moran	5295 Almaden Expressway	Mountain View	CA	95120	(650) 555-2700
Dennis	Melbye	514 Salinas Road	Gilroy	CA	95076	(650) 555-6040
William	Oliver	206 Castro Street	Los Gatos	CA	94041	(408) 555-0220
Joseph	Chin	756 California Street	San Jose	CA	94041	(408) 555-6000
Earl	Lockey	323 Fairchild Drive	Santa Clara	CA	94043-2215	(408) 555-1354
Mr.	Zachman	1020 Second Street	San Jose	CA	95112-5827	(408) 555-5541
Tony	Mills	2762 Bayview Drive	Los Gatos	CA	94539	(408) 555-5780
John	Sakauye	2742 Bayview Drive	San Jose	CA	94539	(408) 555-2885
Geoffrey	Norton	234 Oak Meadow Drive	Morgan Hill	CA	95030	(203) 555-2316
John	Arnautou	5580 Almaden Expy	Morgan Hill	CA	95118	(408) 555-9200
Mike	Burke	16875 Joleen Way	Santa Clara	CA	95037	555-7090
Steve	Burnett	439 First Street	Morgan Hill	CA	95062	(510) 555-3531
Ron	Cioth	1070 Dell Ave	Gilroy	CA	95008-6602	(650) 555-0204
Phil	D'Angelo	629 Mathilda Avenue	Cupertino	CA	94085	(408) 555-3600
Jim	Gibson	908 Arques Avenue	San Jose	CA	94085	(650) 555-6879
Doug	Johnson	465 Piercy Road	Campbell	CA	95138	(650) 555-2751
Janita	Machado	11425 Clayton Road	San Jose	CA	95127	(408) 555-1122
Bob	Prehm	301 Stockton Ave	Cupertino	CA	95126	(408) 555-0294
Bill	Wimmer	151 Evelyn Ave	San Jose	CA	94041	(650) 555-5111
Kash	Helgans	911 Cadillac Court	Santa Clara	CA	95031	(408) 555-1332
Naioki	Snover	2559 Bascom Ave	Santa Clara	CA	95008	(408) 555-8447
Carolyn	Steinbuch	455 Los Gatos Blvd	Campbell	CA	95030	(415) 555-8700
Jennifer	Triska	253 Almendra Ave	Campbell	CA	93050	(408) 555-9182
Bill	Wood	320 Los Gatos-Saratoga Road	Campbell	CA	95030	(408) 555-9055
Milton	Brady	333 Los Gatos-Saratoga Road	San Jose	CA	95030	(408) 555-6600
Ralph	Castle	1870 Hamilton Ave	Santa Clara	CA	95125	(408) 555-7400
David	Hall	1199 Fifth Street	Los Gatos	CA	95112	(408) 555-5400
